drug_name,num_prescriber,total_cost
RENVELA,10,1310367
LANTUS SOLOSTAR,51,1275116
CRESTOR,67,1158271
SPIRIVA,45,1138976
SENSIPAR,10,1050612
JANUVIA,52,864846
ADVAIR DISKUS,47,857095
INVEGA SUSTENNA,3,746709
ABILIFY,14,702366
NEXIUM,50,668528
LANTUS,40,624352
TECFIDERA,1,617573
NOVOLOG FLEXPEN,26,579984
LEVEMIR FLEXTOUCH,33,520003
SEROQUEL XR,9,508023
LYRICA,43,479586
XARELTO,34,475151
SYMBICORT,42,461200
FAZACLO,1,451348
HARVONI,1,446147
ZETIA,29,416749
TRUVADA,3,396825
TRACLEER,1,370714
HUMALOG KWIKPEN U-100,18,320331
ARIPIPRAZOLE,10,319193
LEVOTHYROXINE SODIUM,93,316774
HUMIRA PEN,2,316278
HYDROCODONE-ACETAMINOPHEN,104,293496
ELIQUIS,25,292405
DULOXETINE HCL,62,286405
ATORVASTATIN CALCIUM,109,281756
PROAIR HFA,75,270989
PREZISTA,3,264919
BENICAR,26,246124
LATUDA,7,242603
FERRIPROX,1,240274
COPAXONE,1,240167
METOPROLOL SUCCINATE,88,235989
ATRIPLA,3,228845
VICTOZA 3-PAK,11,226052
NAMENDA XR,24,225936
LEVEMIR,23,225455
OPSUMIT,2,217322
POTASSIUM CHLORIDE,75,214459
NOVOLOG,21,212993
GILENYA,1,212033
HUMALOG,14,210251
INVOKANA,16,197571
LETAIRIS,1,197508
VESICARE,23,194761
ISENTRESS,2,192248
OMEPRAZOLE,97,191006
PRAVASTATIN SODIUM,73,180873
GABAPENTIN,112,177025
OXYCONTIN,16,170595
TAMSULOSIN HCL,69,166425
NOVOLOG MIX 70-30 FLEXPEN,12,163689
NAMENDA,20,163465
WELCHOL,13,162612
ENBREL,3,158222
COMBIVENT RESPIMAT,19,158210
TRADJENTA,18,153116
CELECOXIB,30,150698
RANEXA,10,146832
DEXILANT,18,145245
BENICAR HCT,17,144875
RALOXIFENE HCL,20,144670
PROLASTIN C,1,142221
GLEEVEC,1,141763
PREMARIN,25,138747
ULORIC,14,137063
REYATAZ,2,133935
FENOFIBRATE,46,126772
REBIF,1,123993
PRADAXA,13,123733
MYRBETRIQ,12,123148
DIVALPROEX SODIUM ER,17,119575
OXYCODONE-ACETAMINOPHEN,61,119443
INVEGA,5,118788
EXELON,11,117648
ONGLYZA,13,116756
ZOSTAVAX,5,111798
LISINOPRIL,111,111523
BYSTOLIC,22,109260
AMLODIPINE BESYLATE,106,109185
CLOZAPINE,7,103969
PRISTIQ ER,15,103420
JANUMET,13,103409
SYNTHROID,40,101332
SIMVASTATIN,98,98434
OXYCODONE HCL,35,97200
XENAZINE,1,96755
VYTORIN,8,94571
RISPERDAL CONSTA,3,89652
NORVIR,3,89606
DULERA,7,88931
TARCEVA,1,85317
CLOPIDOGREL,80,85109
METFORMIN HCL ER,42,83957
FORTEO,1,82418
PROSOL,5,81391
METFORMIN HCL,84,80597
VALSARTAN,36,80199
GLUMETZA,1,79425
STRIBILD,1,78758
FOSRENOL,3,77492
INVEGA TRINZA,1,75299
LOSARTAN POTASSIUM,83,75228
HUMALOG MIX 75-25 KWIKPEN,5,74619
EPZICOM,1,74069
AMITIZA,11,73899
BD ULTRA-FINE PEN NEEDLE,41,73776
ABILIFY MAINTENA,1,73250
HUMULIN R U-500,1,73036
OMEGA-3 ACID ETHYL ESTERS,17,72518
DONEPEZIL HCL,51,72340
MORPHINE SULFATE ER,20,72336
FENTANYL,24,71705
VICTOZA 2-PAK,8,70376
QVAR,9,69055
WARFARIN SODIUM,67,68365
AVODART,11,67323
OLANZAPINE ODT,2,65891
VIREAD,2,65648
QUETIAPINE FUMARATE,57,64884
FUROSEMIDE,99,64320
LINZESS,7,63434
PANTOPRAZOLE SODIUM,77,62037
ALLOPURINOL,64,61289
TIVICAY,2,60148
LIDOCAINE,10,59865
NOVOLOG MIX 70-30,7,59160
METOPROLOL TARTRATE,91,57060
VENTOLIN HFA,32,56266
NIACIN ER,8,54739
ESCITALOPRAM OXALATE,61,52397
ANDROGEL,4,51953
MONTELUKAST SODIUM,58,50894
CARVEDILOL,82,50861
ESOMEPRAZOLE MAGNESIUM,9,50855
FLUTICASONE PROPIONATE,63,49851
HUMIRA,1,48711
TRIUMEQ,1,48485
TOVIAZ,5,48114
CALCIUM ACETATE,9,47637
NOVOLIN 70-30,8,47196
